PrimaryKey,SecondaryKey,TitleName,TitleNameComment,Name,Comment,Desc,Comment1,NameTag,BalloonNameHide,Icon,Level,Model,ModelSize,Grade,Type,Type1,BeKilledShare,Size,Weight,Parts,DieType,DieAni,DiePhysics,DieGibs,InvokeTrigger,Exp,MoneyPercent,MoneyValue,DropIndex1,DropIndex2,DropIndex3,InteractionRange,PathfindingType,MoveCollison,BlockPCRootMotionSkillPenetrate,ImmuneIndex,Ticketdistance,Detourrange,ShowDamageHighlight,BehitTwistYawMin,BehitTwistYawMax,BehitTwistPitchMin,BehitTwistPitchMax,BehitTwistRollMin,BehitTwistRollMax,MinimumDistance,StatType,AttackPower,Hp,Hp_Count,Mp,CombatHpRecovery,TargetUI,TargetUI_Design,LifeVessel,WalkSpeed,MoveSpeed,Attribute,Coefficient,Hitratio,Crtratio,Dodge,Def,Res,Crtblock,AiIndex,AggroType,AggroTickMin,AggroTickMax,AttackType,MoveRange,WarRange,PursuitRange,SpTime,SpInvincibleDuration,DieSkillIndex,DieSkillPercent,BorderLine,DestroySkillIndex,DestroySkillPercent,SpBuffIndex1,SpBuffIndex2,SpBuffIndex3,SightType,SightAngle1,SightRange1,SightAngle2,SightRange2,WatchAngle,Tribe,HelpType,HelpRange,HelpValue,WarlikeValue,AttackCooltimeMin,AttackCooltimeMax,FirstSkill1,FirstSkill2,FirstSkill1Per,FirstSkill2Per,SecondSkill1,SecondSkill2,SecondSkill3,SecondSkill4,SecondSkill1Per,SecondSkill2Per,SecondSkill3Per,SecondSkill4Per,ModPoint01,ModSignet01Min,ModSignet01Max,BehitDistRate,BehitHeightRate,BehitTimeRate,DieRagDollValueRateStart,DieRagDollValueRateChange,DieRagDollValueRateDest,Function,FunctionType,FunctionName,Relation,SubFactionId,Attack,SummonDuration,UnsummonType,MapIcon,MapPriority,InteractionKeyIcon,InteractionKeyString,ClickActionId,ClickActionTime,CommonActionDesc,AttackTargetDistance,SummonType,SummonSpawnAction,SummonAiType,SummonLifetime,SummonGroup,SummonCount,ExclusionGroup,ExclusionRange,SummonAmount,SummonFollowRange,SummonApproachRange,AttackSightRange1,SummonReturnRange,ParticleSoundPackage,SyncTarget,StiffenPointMax,StiffenPointDecrease,ParalyzationPointMin,ParalyzationPointMax,ParalyzationPointDecrease,ParalyzationPercent
110040,,,,tip.name.npc_monster_110040,이끼 안개 멍울,,정령여왕의 정원,1,0,0,3,EFDLChar_MN_SQSP_00.MN_SQSP_00,130,2,0,0,0,2,0,0,1,100,0,0,1,100,0,100,0,0,0,0,1,0,1,1001,800,0,1,-12385,12385,-12385,12385,-12385,12385,0,0,100,100,2,100,0,1,,0,0,0,0,100,100,100,100,100,100,100,7000,0,1000,1000,1,0,1200,1000,60,1000,110048,100,0,,,,,,1,360,700,0,0,180,100000,0,0,1,1,0,500,110040,0,100,0,0,0,0,0,0,0,0,0,,,,,,,1.7,0.9,0.7,,,,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,EFDataPS_MonsterSet.MN_SQDK_00,1,0,0,0,0,0,0
110041,,,,tip.name.npc_monster_110041,이끼 안개 멍울,,베노스 상층부-바람의 성소 인스턴스,1,0,0,6,EFDLChar_MN_SQSP_00.MN_SQSP_00,130,2,0,0,0,2,0,0,1,100,0,0,1,100,0,100,0,0,0,0,1,0,1,1001,800,0,1,-12385,12385,-12385,12385,-12385,12385,0,0,115,110,4,100,0,1,,0,0,0,0,100,100,100,100,100,100,100,7000,0,1000,1000,1,0,1200,1000,60,1000,110048,100,0,,,,,,1,360,700,0,0,180,100000,0,0,1,1,0,500,110045,0,100,0,0,0,0,0,0,0,0,0,,,,,,,1.7,0.9,0.7,,,,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,0,0,0,0,0
110042,,,,tip.name.npc_monster_110042,이끼 안개 멍울,,베노스 상층부,1,0,0,3,EFDLChar_MN_SQSP_00.MN_SQSP_00,130,2,0,0,0,2,0,0,1,100,0,0,1,100,0,100,0,0,0,0,1,0,1,1001,800,0,1,-12385,12385,-12385,12385,-12385,12385,0,0,100,100,2,100,0,1,,0,0,0,0,100,100,100,100,100,100,100,7000,0,1000,1000,1,0,1200,1000,60,1000,110048,100,0,,,,,,1,360,700,0,0,180,100000,0,0,1,1,0,500,110041,0,100,0,0,0,0,0,0,0,0,0,,,,,,,1.7,0.9,0.7,,,,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,0,0,0,0,0
110043,,,,tip.name.npc_monster_110043,이끼 안개 멍울,,베노스 상층부,1,0,0,3,EFDLChar_MN_SQSP_00.MN_SQSP_00,130,2,0,0,0,2,0,0,1,100,0,0,1,100,0,100,0,0,0,0,1,0,1,1001,800,0,1,-12385,12385,-12385,12385,-12385,12385,0,0,100,100,2,100,0,1,,0,0,0,0,100,100,100,100,100,100,100,7000,0,1000,1000,1,0,1200,1000,60,1000,110048,100,0,,,,,,1,360,700,0,0,180,100000,0,0,1,1,0,500,110042,0,100,0,0,0,0,0,0,0,0,0,,,,,,,1.7,0.9,0.7,,,,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,0,0,0,0,0
110170,,,,tip.name.npc_monster_110170,화염 악마 멍울,,베노스 하층부-침묵의 섬 인스턴스,1,0,0,9,EFDLChar_MN_SQSP_00-1.MN_SQSP_00-1,130,2,0,0,0,2,0,0,1,100,0,0,1,100,0,100,0,0,0,0,1,0,1,1001,800,0,1,-12385,12385,-12385,12385,-12385,12385,0,0,115,110,4,100,0,1,,0,0,0,0,100,100,100,100,100,100,100,7000,0,1000,1000,1,0,1200,1000,60,1000,110049,100,0,,,,,,1,360,700,0,0,180,100000,0,0,1,1,0,500,110043,0,100,0,0,0,0,0,0,0,0,0,,,,,,,1.7,0.9,0.7,,,,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,0,0,0,0,0
110171,,,,tip.name.npc_monster_110171,화염 악마 멍울,,금제단,1,0,0,3,EFDLChar_MN_SQSP_00-1.MN_SQSP_00-1,130,2,0,0,0,2,0,0,1,100,0,0,1,100,0,100,0,0,0,0,1,0,1,1001,800,0,1,-12385,12385,-12385,12385,-12385,12385,0,0,100,100,2,100,0,1,,0,0,0,0,100,100,100,100,100,100,100,7000,0,1000,1000,1,0,1200,1000,60,1000,110049,100,0,,,,,,1,360,700,0,0,180,100000,0,0,1,1,0,500,110044,0,100,0,0,0,0,0,0,0,0,0,,,,,,,1.7,0.9,0.7,,,,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,0,0,0,0,0
117110,,,,tip.name.npc_monster_117110,역병 인도자,,오즈혼 구릉지,1,0,0,18,EFDLChar_MN_AHPI_00.MN_AHPI_00,100,5,0,0,0,3,0,0,1,100,0,0,1,100,0,100,0,0,0,0,2,0,1,1001,800,0,1,-12385,12385,-12385,12385,-12385,12385,0,0,80,25,2,100,0,1,,0,100,200,0,100,100,100,100,100,100,100,7290,0,1000,1000,1,300,2200,1400,60,1000,0,0,0,,,,,,1,360,400,0,0,0,100000,0,0,1,1,0,500,101370,101371,50,50,0,0,0,0,0,0,0,25,,,,,,,1.7,0.9,0.7,,,,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,0,0,0,0,0
119000,,,,tip.name.npc_monster_119000,어둠의 정령기사,,정령여왕의 정원,1,0,0,3,EFDLChar_MN_SQDK_00.MN_SQDK_00,100,4,0,7,0,3,0,0,1,100,0,0,1,100,0,100,0,0,0,0,2,0,1,1001,800,0,1,-12385,12385,-12385,12385,-12385,12385,0,0,105.8,118.8,2,100,0,1,,0,95,230,0,100,100,100,100,80,120,100,9020,0,1000,1000,1,300,0,0,60,4500,0,0,0,,,,,,1,360,3000,0,0,0,0,0,0,0,0,0,500,0,0,0,0,100110,100111,100112,0,34,33,33,0,,,,,,,1.7,0.9,0.7,,,,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,EFDataPS_MonsterSet.mn_pavr_00,1,0,0,0,0,0,0
119020,,,,tip.name.npc_monster_119020,벨모로크,,금제단,1,0,0,12,EFDLChar_MN_PAVR_00.MN_PAVR_00,75,4,0,0,0,3,0,0,2,0,100,0,1,100,0,100,0,0,0,0,2,0,1,1001,800,0,1,-12385,12385,-12385,12385,-12385,12385,0,0,100,100,4,100,0,1,,0,210,250,0,100,100,100,100,100,100,100,9030,0,1000,1000,1,300,0,0,60,4200,0,0,0,,,,,,1,360,3000,0,0,0,100000,0,0,0,0,0,500,100242,0,100,0,100240,100243,100244,0,34,33,33,0,,,,,,,1.7,0.9,0.7,,,,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,0,0,0,0,0
120120,,,,tip.name.npc_monster_120120,불칸,,로그힐,1,0,0,11,EFDLChar_MN_LGBK_00.MN_LGBK_00,100,5,0,0,0,4,0,0,7,50,30,20,1,100,0,100,1005,11002,0,0,1,0,1,1002,800,0,1,-12385,12385,-12385,12385,-12385,12385,0,0,75,100,5,100,0,2,,0,100,250,0,100,100,100,100,100,100,100,7000,0,1000,1000,0,300,2200,1400,60,1000,0,0,0,,,,,,1,360,500,0,0,0,100000,0,0,1,1,0,500,0,0,0,0,120120,120121,120122,120123,25,25,25,25,,,,,,,1.7,0.9,0.7,,,,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,0,0,0,0,0
