ObjectType,LookInfoKey,ObjectName,IsVariation,BaseObejctName,VariationFrom,Desc,Mesh,Material,Animset,PhysicAsset,ActionObject,PartsMesh_1,PartsMesh_2,PartsMesh_3,ParticleSystem
EFDLCHAR_MN,EFDataStore_LookInfosMonster.EFDLCHAR_MN_RHWA_00,EFDLCHAR_MN_RHWA_00,False,EFDLCHAR_MN_RHWA_00,EFDLCHAR_MN_RHWA_00,,,,,,,,,,
MN,EFDataStore_LookInfosMonster.MN_LRCR_00,MN_LRCR_00,False,MN_LRCR_00,MN_LRCR_00,체스룩,MN_LRCR_00.Mesh.MN_LRCR_00_SK,,MN_LRCR_00.Ani.MN_LRCR_00_Ani,MN_LRCR_00.Ani.MN_LRCR_00_Physics,,MN_LRCR_00.Mesh.MN_LRCR_00_SK_Sh01,,,FX_CM_01.Explosion.Par_E_PartsExp_LRCR_001
VI,EFDataStore_LookInfosMonster.VI_BALLISTA01_00,VI_BALLISTA01_00,False,VI_BALLISTA01_00,VI_BALLISTA01_00,,,,,,,,,,
NP,EFDChar_NP_RERD_00.NP_RERD_00,NP_RERD_00,False,NP_RERD_00,NP_RERD_00,릴다,NP_RERD_00.Mesh.NP_RERD_00_SK,MN_Head_FE04_001.Mat.Head_FE04_001-3_MI,,,,MN_Head_FE04_001.Mesh.Head_FE04_001_SK,,,
NP,EFDChar_NP_RERD_00-1.NP_RERD_00-1,NP_RERD_00-1,True,NP_RERD_00,NP_RERD_00,기뻐하는 주민,NP_RERD_00.Mesh.NP_RERD_00_SK,NP_RERD_00-1.Mat.NP_RERD_00-1_MI,,,,MN_Head_FE04_001.Mesh.Head_FE04_001_SK,,,
NP,EFDChar_NP_RERD_00-2.NP_RERD_00-2,NP_RERD_00-2,True,NP_RERD_00,NP_RERD_00,수도원 마을처녀,NP_RERD_00.Mesh.NP_RERD_00_SK,NP_RERD_00-2.Mat.NP_RERD_00-2_MI,,,,MN_Head_FE04_001.Mesh.Head_FE04_001_SK,,,
,EFDLChar_BATTLESHIP.BATTLESHIP,BATTLESHIP,False,,,,RideBOXPCs.sk.RidePCs_SK,,RideBOXPCs.sk.RidePCs_SK_Anims,RideBOXPCs.sk.RidePCs_SK_Physics,,,,,
,EFDLChar_CANNON_0.CANNON_0,CANNON_0,False,,,,Transit_Cannon.Mesh.Transit_Cannon,,Transit_Cannon.Anim.Transit_Cannon_Anim,Transit_Cannon.Mesh.Transit_Cannon_Physics,,,,,
,EFDLChar_FLYWHALE.FLYWHALE,FLYWHALE,False,,,,RidePCs_flyWhale_Half.sk.PR_CBF_01_RidePCs05_SK,,RidePCs_flyWhale_Half.sk.PR_CBF_01_RidePCs05_Anims,RidePCs_flyWhale_Half.sk.PR_CBF_01_RidePCs05_Physics,,,,,
,EFDLChar_ITR_00349.ITR_00349,ITR_00349,False,,,부서진 제단,ITR_00349.mesh_new.ITR_00349_SK,,,ITR_00349.Ani.ITR_00349_Physics,,,,,
,EFDLChar_KAYANGELGEAR.kayangelGear,kayangelGear,False,,,,kayangelGear.sk.ridePCs_GearTransit_SK,,kayangelGear.sk.ridePCs_GearTransit_Anim,kayangelGear.sk.ridePCs_GearTransit_SK_Physics1,,,,,
,EFDLChar_KAYANGELGEAR_RENEWAL.kayangelGear_Renewal,kayangelGear_Renewal,False,,,,vehicle_01.Anim.VT_KayangelGear_SK,,vehicle_01.Anim.VT_KayangelGear_Anim,vehicle_01.Anim.VT_KayangelGear_Physics,,,,,
MN,EFDLChar_MN_AHMS_00.MN_AHMS_00,MN_AHMS_00,False,MN_AHMS_00,MN_AHMS_00,메라뱀,MN_AHMS_00.Mesh.MN_AHMS_00_SK,,MN_AHMS_00.Ani.MN_AHMS_00_Ani,MN_AHMS_00.Ani.MN_AHMS_00_Physics,,,,,
MN,EFDLChar_MN_AHMS_01.MN_AHMS_01,MN_AHMS_01,True,MN_AHMS_00,MN_AHMS_01,어린 메라뱀 A,MN_AHMS_01.Mesh.MN_AHMS_01_SK,,MN_AHMS_00.Ani.MN_AHMS_00_Ani,MN_AHMS_00.Ani.MN_AHMS_00_Physics,,,,,
MN,EFDLChar_MN_AHMS_01-1.MN_AHMS_01-1,MN_AHMS_01-1,True,MN_AHMS_00,MN_AHMS_01,어린 메라뱀 B,MN_AHMS_01.Mesh.MN_AHMS_01_SK,MN_AHMS_01-1.Mat.MN_AHMS_01-1_MI,MN_AHMS_00.Ani.MN_AHMS_00_Ani,MN_AHMS_00.Ani.MN_AHMS_00_Physics,,,,,
MN,EFDLChar_MN_AHMS_01-2.MN_AHMS_01-2,MN_AHMS_01-2,True,MN_AHMS_00,MN_AHMS_01,어린 메라뱀 C,MN_AHMS_01.Mesh.MN_AHMS_01_SK,MN_AHMS_01-2.Mat.MN_AHMS_01-2_MI,MN_AHMS_00.Ani.MN_AHMS_00_Ani,MN_AHMS_00.Ani.MN_AHMS_00_Physics,,,,,
MN,EFDLChar_MN_AHMS_01-3.MN_AHMS_01-3,MN_AHMS_01-3,True,MN_AHMS_00,MN_AHMS_01,어린 메라뱀 D,MN_AHMS_01.Mesh.MN_AHMS_01_SK,MN_AHMS_01-3.Mat.MN_AHMS_01-3_MI,MN_AHMS_00.Ani.MN_AHMS_00_Ani,MN_AHMS_00.Ani.MN_AHMS_00_Physics,,,,,
MN,EFDLChar_MN_AHMS_01-4.MN_AHMS_01-4,MN_AHMS_01-4,True,MN_AHMS_00,MN_AHMS_01,어린 메라뱀-4 검은돌기뱀,MN_AHMS_01.Mesh.MN_AHMS_01_SK,MN_AHMS_01-4.Mat.MN_AHMS_01-4_MI,MN_AHMS_00.Ani.MN_AHMS_00_Ani,MN_AHMS_00.Ani.MN_AHMS_00_Physics,,,,,
