Key,Group,Data
sys.areaname.arthemis_10212_01,\지역 이름,루나패스
sys.areaname.arthemis_10212_02,\지역 이름,레온하트 성당
sys.areaname.coilsv_10211,\지역 이름\퀘스트 저널창 출력,코일즈 계곡
tip.name.interactionkey_talk_1,\인터랙션키,대화 하기
tip.name.interactionkey_ride,\인터랙션키,탑승 하기
tip.name.interactionkey_action,\인터랙션키,작동 하기
tip.name.interactionkey_action_1,\인터랙션키,작동 하기
tip.name.interactionkey_action_2,\인터랙션키,무기 찾기
tip.name.interactionkey_action_3,\인터랙션키,방어구 찾기
tip.name.interactionkey_gathering,\인터랙션키,채집 하기
tip.name.interactionkey_digging,\인터랙션키,광물 캐기
tip.name.interactionkey_felling,\인터랙션키,벌목 하기
tip.name.interactionkey_felling_1,\인터랙션키,벌목 하기
tip.name.interactionkey_lifting,\인터랙션키,집어 들기
tip.name.interactionkey_moving,\인터랙션키,이동 하기
tip.name.interactionkey_rappel,\인터랙션키,레펠 타기
tip.name.interactionkey_jump,\인터랙션키,점프 하기
tip.name.interactionkey_digging_1,\인터랙션키,땅 파기
tip.name.interactionkey_tightrope,\인터랙션키,외줄 타기
tip.name.interactionkey_sitting,\인터랙션키,앉기
tip.name.interactionkey_rescue,\인터랙션키,구출 하기
tip.name.interactionkey_game,\인터랙션키,게임 하기
tip.name.interactionkey_box,\인터랙션키,상자 열기
tip.name.interactionkey_rise_1,\인터랙션키,오르기
tip.name.interactionkey_hearing,\인터랙션키,소문 듣기
tip.name.interactionkey_catch,\인터랙션키,잡기
tip.name.interactionkey_saw,\인터랙션키,톱질 하기
tip.name.interactionkey_collection,\인터랙션키,회수 하기
tip.name.interactionkey_grab_cycle,\인터랙션키,잡아 주기
tip.name.interactionkey_kicking,\인터랙션키,발로 차기
sys.areaname.test,\지역 이름,테스트용 지역 이름 출력
tip.name.ability_active_step,\스킬북,{0} {1}단계
tip.name.ability_stone_work_required,\공통,세공 필요
tip.name.accessory_shop,\기능성 NPC 종류,<FONT COLOR='#CCFF00' SIZE='13'>[장신구 상점]</FONT>
tip.name.actioncasting_npc_cure,\공용액션캐스팅,부상당한 수련생 치료하는 중
tip.name.actioncasting_null,\공용액션캐스팅,
tip.name.actioncasting_prop_10056,\공용액션캐스팅,상자 여는 중
tip.name.actioncasting_prop_20105,\공용액션캐스팅,자리가 낡아 삐걱거린다.
tip.name.actioncasting_prop_20106,\공용액션캐스팅,땀 때문에 놓칠 것 같다!
tip.name.actioncasting_prop_20227,\공용액션캐스팅,네리아에게 받은 꽃을 여기저기...
tip.name.actioncasting_prop_20231,\공용액션캐스팅,잡초의 뿌리가 깊어 잘 안 뽑힌다.
tip.name.actioncasting_prop_20236,\공용액션캐스팅,최근에 파헤쳐진 표가 난다.
tip.name.actioncasting_prop_20237,\공용액션캐스팅,여러가지 도구가 놓여있다.
tip.name.actioncasting_prop_20246,\공용액션캐스팅,손을 깊숙이 넣어본다.
tip.name.actioncasting_prop_20247,\공용액션캐스팅,짚더미 안에 뭔가 보인다.
tip.name.actioncasting_prop_20501,\공용액션캐스팅,사슬전쟁의 부조가 보인다.
tip.name.actioncasting_prop_20502,\공용액션캐스팅,아크의 모습이 조각됐다.
tip.name.actioncasting_prop_20503,\공용액션캐스팅,에스더와 아크의 모습이다.
tip.name.actioncasting_prop_20504,\공용액션캐스팅,대악마 카제로스...
tip.name.actioncasting_prop_20505,\공용액션캐스팅,가죽줄에 묶인 편지뭉치를 줍는다.
tip.name.actioncasting_prop_20508,\공용액션캐스팅,조심스럽게 장치를 해체한다.
tip.name.actioncasting_prop_20511,\공용액션캐스팅,까끌까끌한 잎을 따서 모아둔다.
tip.name.actioncasting_prop_20524,\공용액션캐스팅,갑옷의 묵직함이 느껴진다.
tip.name.actioncasting_prop_20527,\공용액션캐스팅,석상 파편을 모아 복구한다.
tip.name.actioncasting_prop_20529,\공용액션캐스팅,기울어진 석상을 밀어 바로 세운다.
tip.name.actioncasting_prop_20530,\공용액션캐스팅,독한 냄새가 코를 찌른다.
tip.name.actioncasting_prop_20532,\공용액션캐스팅,군침 도는 향기가 가득하다.
tip.name.actioncasting_prop_20535,\공용액션캐스팅,눈에 띄는 물건이 있다.
tip.name.actioncasting_prop_20538,\공용액션캐스팅,으악! 손가락을 물었다!
tip.name.actioncasting_prop_20539,\공용액션캐스팅,새콤달콤함이 눈에 보인다.
tip.name.actioncasting_prop_20540,\공용액션캐스팅,귀여운 버섯이 옹기종기 모여있다.
tip.name.actioncasting_prop_20541,\공용액션캐스팅,진득한 꿀을 병으로 옮긴다.
tip.name.actioncasting_prop_20602,\공용액션캐스팅,보기보다 가볍게 들린다.
tip.name.actioncasting_prop_20611,\공용액션캐스팅,나방의 날개 가루를 털어낸다.
tip.name.actioncasting_prop_20614,\공용액션캐스팅,뭔가에 크게 놀란 표정이다.
tip.name.actioncasting_prop_20635,\공용액션캐스팅,단지를 열어 넋을 안치한다.
tip.name.actioncasting_prop_20636,\공용액션캐스팅,냄새나고 질퍽거리는 흙을 파낸다.
tip.name.actioncasting_prop_20637,\공용액션캐스팅,석판으로 보이는 건 없다.
tip.name.actioncasting_prop_20638,\공용액션캐스팅,신선한 푸른 빛의 새순을 담는다.
tip.name.actioncasting_prop_20641,\공용액션캐스팅,알에서 온기가 느껴진다.
tip.name.actioncasting_prop_20729,\공용액션캐스팅,열쇠가 쇳소리를 내며 돌아간다.
tip.name.actioncasting_prop_20802,\공용액션캐스팅,고약한 냄새를 풍기는 사체다.
tip.name.actioncasting_prop_20803,\공용액션캐스팅,오염된 샘에 신성한 샘물을 뿌린다.
tip.name.actioncasting_prop_20806,\공용액션캐스팅,제법 무거운 잔해를 들어올린다.
tip.name.actioncasting_prop_20807,\공용액션캐스팅,작은 진동과 함께 빛이 차오른다.
tip.name.actioncasting_prop_20808,\공용액션캐스팅,얕은 홈을 따라 빛이 흐른다.
tip.name.actioncasting_prop_20809,\공용액션캐스팅,은은한 빛이 주변을 선회한다.
tip.name.actioncasting_prop_20810,\공용액션캐스팅,향기나는 작고 노란 꽃을 모으는 중
tip.name.actioncasting_prop_20812,\공용액션캐스팅,부서진 부분을 새 것으로 교체한다.
tip.name.actioncasting_prop_20815,\공용액션캐스팅,신비초 특유의 향이 손에 가득하다.
tip.name.actioncasting_prop_20816,\공용액션캐스팅,역병에 오염된 시신을 태운다.
tip.name.actioncasting_prop_20833,\공용액션캐스팅,신성한 샘의 물을 병에 담는다.
tip.name.actioncasting_prop_20908,\공용액션캐스팅,미라로 변한 시신의 주머니를 뒤진다.
tip.name.actioncasting_prop_20909,\공용액션캐스팅,시신의 주먹을 펴 종이를 빼낸다.
tip.name.actioncasting_prop_20910,\공용액션캐스팅,연구일지로 보이는 종이를 집어든다.
tip.name.actioncasting_prop_20911,\공용액션캐스팅,연구일지로 보이는 종이를 집어든다.
tip.name.actioncasting_prop_20912,\공용액션캐스팅,연구일지로 보이는 종이를 집어든다.
tip.name.actioncasting_prop_20914,\공용액션캐스팅,바짝 마른 허물을 집어든다.
tip.name.actioncasting_prop_20915,\공용액션캐스팅,커다란 허물을 모닥불에 던져 넣는다.
tip.name.actioncasting_prop_20916,\공용액션캐스팅,낡고 지저분한 상자를 여는 중
tip.name.actioncasting_prop_21003,\공용액션캐스팅,오염된 창고에 성수를 뿌린다.
tip.name.actioncasting_prop_21006,\공용액션캐스팅,델의 짐인 것을 확인한다.
tip.name.actioncasting_prop_21007,\공용액션캐스팅,영차!
tip.name.actioncasting_prop_21009,\공용액션캐스팅,열쇠 마냥 구멍에 딱 맞아 떨어진다.
tip.name.actioncasting_prop_21010,\공용액션캐스팅,열쇠 마냥 구멍에 딱 맞아 떨어진다.
tip.name.actioncasting_prop_21011,\공용액션캐스팅,열쇠 마냥 구멍에 딱 맞아 떨어진다.
tip.name.actioncasting_prop_21022,\공용액션캐스팅,흙을 정갈히 덮은 후 묵념한다.
tip.name.actioncasting_prop_21034,\공용액션캐스팅,예비부품으로 교체한다.
tip.name.actioncasting_prop_21037,\공용액션캐스팅,매캐한 연기가 피어오른다.
tip.name.actioncasting_prop_21038,\공용액션캐스팅,삽으로 뿌리째 떠낸다.
tip.name.actioncasting_prop_21039,\공용액션캐스팅,알알이 엮인 감자가 올라온다.
tip.name.actioncasting_prop_21040,\공용액션캐스팅,잘 익어 맛있어 보이는 베리다.
tip.name.actioncasting_prop_21041,\공용액션캐스팅,특이하게 생긴 잎이다. 맛있을까?
tip.name.actioncasting_prop_21103,\공용액션캐스팅,달빛을 담은 꽃을 꺾어 모은다.
tip.name.actioncasting_prop_21104,\공용액션캐스팅,주머니에서 이름표를 찾아 꺼낸다.
tip.name.actioncasting_prop_21105,\공용액션캐스팅,단단한 광석을 부수는 중
tip.name.actioncasting_prop_21107,\공용액션캐스팅,차갑고 둥근 보석을 집어든다.
tip.name.actioncasting_prop_60114,\공용액션캐스팅,유랑민 대표들의 서명이 적혀있다!
tip.name.actioncasting_prop_60116,\공용액션캐스팅,짐들이 너저분하게 널려있다. 
tip.name.actioncasting_prop_60119,\공용액션캐스팅,새, 생각보다 무겁다!
tip.name.actioncasting_prop_60121,\공용액션캐스팅,소금 더미에 불을 질러야… 
tip.name.actioncasting_prop_60137,\공용액션캐스팅,도적단 무기를 고철로 만드는 중
tip.name.actioncasting_prop_60168,\공용액션캐스팅,우물에 독 한 방울… 두 방울…
tip.name.actioncasting_prop_60172,\공용액션캐스팅,도적단이 숨겨 둔 보물 상자가?!
tip.name.actioncasting_prop_60212,\공용액션캐스팅,야영지 보수에 적합해 보이는 목재다!
tip.name.actioncasting_prop_60213,\공용액션캐스팅,땅굴을 메우기 위한 삽질 중
tip.name.actioncasting_prop_60216,\공용액션캐스팅,거대한 윙가의 알을 발견했다!
tip.name.actioncasting_prop_60220,\공용액션캐스팅,수액이 흐르기 시작한다. 
tip.name.actioncasting_prop_60221,\공용액션캐스팅,망원경을 사용해 볼까? 
tip.name.actioncasting_prop_60236,\공용액션캐스팅,도적단 식량에 슬쩍 독초를…
tip.name.actioncasting_prop_60237,\공용액션캐스팅,좋은 향기가 나는 풀이다. 
tip.name.actioncasting_prop_60239,\공용액션캐스팅,땅 속에 뭔가 있는 것 같다!
tip.name.actioncasting_prop_60240,\공용액션캐스팅,이 상자에는 무엇이 들어 있을까?
tip.name.actioncasting_prop_60246,\공용액션캐스팅,염원을 담아 제단에 제물을 올리는 중
tip.name.actioncasting_prop_60255,\공용액션캐스팅,기괴하게 생긴 이것은?!
tip.name.actioncasting_prop_60256,\공용액션캐스팅,소금 결정이 보석같이 반짝인다. 
tip.name.actioncasting_prop_60262,\공용액션캐스팅,둥둥둥! 회합의 북을 쳐라!
tip.name.actioncasting_prop_60272,\공용액션캐스팅,으으… 이런 일까지 할 줄이야! 
tip.name.actioncasting_prop_60314,\공용액션캐스팅,아릿한 유황 냄새가 난다. 
tip.name.actioncasting_prop_60315,\공용액션캐스팅,연기에서 매캐한 향기가 난다. 
tip.name.actioncasting_prop_60316,\공용액션캐스팅,맛 좋기로 유명한 메라뱀 알이다!
tip.name.actioncasting_prop_60317,\공용액션캐스팅,이 안에 뭔가 있을 것 같은데… 
tip.name.actioncasting_prop_60318,\공용액션캐스팅,의뢰를 받긴 했지만 이건 좀… 
tip.name.actioncasting_prop_60319,\공용액션캐스팅,오래된 시체에서 투구 얻는 중
tip.name.actioncasting_prop_60321,\공용액션캐스팅,비석 살펴보는 중
tip.name.actioncasting_prop_60331,\공용액션캐스팅,왠지 몽롱해지는 열매다.
tip.name.actioncasting_prop_60333,\공용액션캐스팅,영혼 불러내는 중
tip.name.actioncasting_prop_60334,\공용액션캐스팅,영웅이 남긴 유물이 여기에?!
tip.name.actioncasting_prop_60336,\공용액션캐스팅,작은 주머니가 떨어져 있다. 
tip.name.actioncasting_prop_60338,\공용액션캐스팅,달그락거리는 소리가 난다.
tip.name.actioncasting_prop_60340,\공용액션캐스팅,뭔가 숨겨져 있을 것 같은 땅이다. 
tip.name.actioncasting_prop_60352,\공용액션캐스팅,네게브에 관한 이야기를 하고 있다!
tip.name.actioncasting_prop_60367,\공용액션캐스팅,수상한 글자가 적혀있다. 이것은?!
tip.name.actioncasting_prop_60368,\공용액션캐스팅,부적을 토템에 붙여야 한다!
tip.name.actioncasting_prop_60373,\공용액션캐스팅,시체에서 유품을 꺼내는 중
tip.name.actioncasting_prop_60376,\공용액션캐스팅,새장 안의 새는 죽어있다. 
tip.name.actioncasting_prop_60380,\공용액션캐스팅,주머니 안에서 고소한 냄새가 난다. 
tip.name.actioncasting_prop_60384,\공용액션캐스팅,특이한 물건이 있을 것도 같다. 
tip.name.actioncasting_prop_80301,\공용액션캐스팅,깃발을 올리는 중
tip.name.actioncasting_prop_80302,\공용액션캐스팅,전서구 새장을 여는 중
tip.name.actioncasting_prop_80305,\공용액션캐스팅,짐 더미에서 보급품을 꺼내는 중
tip.name.actioncasting_prop_80307,\공용액션캐스팅,엄청나게 쓸 것 같은 풀이다…
tip.name.actioncasting_prop_80308,\공용액션캐스팅,붉은 열매를 하나하나 따는 중
tip.name.actioncasting_prop_80309,\공용액션캐스팅,앗, 차가워!
tip.name.actioncasting_prop_80312,\공용액션캐스팅,쓸만한 게 남아있나…
tip.name.actioncasting_prop_80313,\공용액션캐스팅,우물 속에 무언가 빛나는 것이 있다…!
tip.name.actioncasting_prop_80314,\공용액션캐스팅,어디... 뭐가 얼마나 있나?
tip.name.actioncasting_prop_80315,\공용액션캐스팅,얇은 얼음 밑에 부글거리는 물이 보인다…
tip.name.actioncasting_prop_80316,\공용액션캐스팅,반짝이는 은빛 잎사귀를 따는 중
tip.name.actioncasting_prop_80317,\공용액션캐스팅,괴물이 꺼리는 향이 나는 가루를 넣는 중
tip.name.actioncasting_prop_80318,\공용액션캐스팅,조심스럽게 낡은 종이 뭉치를 들어올린다.
tip.name.actioncasting_prop_80319,\공용액션캐스팅,낡은 성물함을 여는 중
tip.name.actioncasting_prop_80401,\공용액션캐스팅,신호탄을 설치하는 중
tip.name.actioncasting_prop_80402,\공용액션캐스팅,깃발을 올리는 중
tip.name.actioncasting_prop_80404,\공용액션캐스팅,방책을 수리하는 중
tip.name.actioncasting_prop_80405,\공용액션캐스팅,구두가 걸려 있어야 할 텐데…
tip.name.actioncasting_prop_80406,\공용액션캐스팅,추모비에 적힌 내용을 읽는 중
tip.name.actioncasting_prop_80408,\공용액션캐스팅,산적치고는 좋은 무기를 쓰고 있다. 역시…?
tip.name.actioncasting_prop_80409,\공용액션캐스팅,서두르지 않으면!!
tip.name.actioncasting_prop_80410,\공용액션캐스팅,아무리 생각해도 미친 짓 같다…
tip.name.actioncasting_prop_80411,\공용액션캐스팅,호수의 물에서 미약하지만 사기가 느껴진다!
tip.name.actioncasting_prop_80465,\공용액션캐스팅,쓴맛이 나는 꽃잎을 따서 모으는 중
tip.name.actioncasting_prop_80466,\공용액션캐스팅,흙을 약간 걷어내자 빛나는 목걸이가…!
tip.name.actioncasting_prop_80468,\공용액션캐스팅,진짜로 금이 포함되어 있을까…
tip.name.actioncasting_prop_80469,\공용액션캐스팅,도대체 왜 이걸 가져오라는 거지…
tip.name.actioncasting_prop_80501,\공용액션캐스팅,무슨 내용이기에 던져버린 거지?
tip.name.actioncasting_prop_80502,\공용액션캐스팅,고인의 명복을 빌고, 서신을 찾는 중
tip.name.actioncasting_prop_80505,\공용액션캐스팅,치유의 샘물을 담는 중
tip.name.actioncasting_prop_80507,\공용액션캐스팅,다시 불을 붙이는 중
tip.name.actioncasting_prop_80509,\공용액션캐스팅,오염된 성수에 은제 성표를 담그는 중
tip.name.actioncasting_prop_80511,\공용액션캐스팅,그렇게 희귀한 건가?
tip.name.actioncasting_prop_80512,\공용액션캐스팅,무언가 빛나고 있다…
tip.name.actioncasting_prop_80513,\공용액션캐스팅,심장에 별로 좋지 않을 것 같은 버섯을 채집 중
tip.name.actioncasting_prop_80514,\공용액션캐스팅,수상쩍은 식물을 조사 중
tip.name.actioncasting_prop_80515,\공용액션캐스팅,식량 자루에 독버섯 조각을 섞는 중
tip.name.actioncasting_prop_80602,\공용액션캐스팅,함정을 해제하는 중
tip.name.actioncasting_prop_80604,\공용액션캐스팅,짙은 벌꿀을 그러담는 중
tip.name.actioncasting_prop_80605,\공용액션캐스팅,군량 자루를 뜯어놓는 중
tip.name.actioncasting_prop_80607,\공용액션캐스팅,나무 감옥을 여는 중
tip.name.actioncasting_prop_80609,\공용액션캐스팅,샘물에 정화석을 담그는 중
tip.name.actioncasting_prop_80611,\공용액션캐스팅,여기 그게 있을까?
tip.name.actioncasting_prop_80701,\공용액션캐스팅,승리를 알리는 봉화를 올리는 중!!
tip.name.actioncasting_prop_80702,\공용액션캐스팅,조심스레 거대한 유물의 파편을 뜯어내고 중
tip.name.actioncasting_prop_80705,\공용액션캐스팅,피의 구덩이를 파괴하는 중
tip.name.actioncasting_prop_80706,\공용액션캐스팅,승리의 깃발을 올리는 중!
tip.name.actioncasting_prop_80707,\공용액션캐스팅,오염된 지표의 흙을 떠내는 중
tip.name.actioncasting_prop_80708,\공용액션캐스팅,수호석에 마력을 불어넣는 중
tip.name.actioncasting_prop_80801,\공용액션캐스팅,누군가가 떨어트린 물건이다…
tip.name.actioncasting_prop_9001,\공용액션캐스팅,스퀘어홀을 기억해둔다.
tip.name.actioncasting_prop_mirror,\공용액션캐스팅,하노가 빼앗긴 거울 찾는 중
tip.name.actioncasting_prop_perfume1,\공용액션캐스팅,향수를 탁자에 내려놓는 중
tip.name.actioncasting_prop_perfume2,\공용액션캐스팅,야래향에게 바칠 향수 얻는 중
tip.name.actioncasting_prop_tree,\공용액션캐스팅,도깨비 나무 주술 푸는 중
tip.name.actioncasting_prop_vipa,\공용액션캐스팅,호동이 놓친 대사부의 비파 얻는 중
tip.name.actioncasting_prop_zusul,\공용액션캐스팅,비단고치 주술 푸는 중
tip.name.actioncasting_shs_npc_rescue,\공용액션캐스팅,의식 잃은 부상병 깨우는 중
tip.name.actioncasting_shs_prop_bag,\공용액션캐스팅,로드람의 가방에서 수행일지 찾는 중
tip.name.actioncasting_shs_prop_box1,\공용액션캐스팅,묵직해 보이는 상자, 그 안에는!
tip.name.actioncasting_shs_prop_box2,\공용액션캐스팅,뻑뻑해서 잘 열리지 않는다.
tip.name.actioncasting_shs_prop_equipment,\공용액션캐스팅,부서진 상자 더미 밑에 저것은?!
tip.name.actioncasting_shs_prop_letter,\공용액션캐스팅,보급품 잔해 밑에 가방이!
tip.name.actioncasting_shs_prop_map,\공용액션캐스팅,작전지도! 두목의 행방이 어딘가에…
tip.name.actioncasting_shs_prop_relic,\공용액션캐스팅,성스러운 힘이 유물에 스며들고 있다.
tip.name.actioncasting_shs_prop_summon,\공용액션캐스팅,설원의 수호자를 소환하는 중
tip.name.actioncasting_shs_prop_weapon,\공용액션캐스팅,볼품없는 무기들 뒤적이는 중
tip.name.actioncasting_test,\공용액션캐스팅,캐스팅 중
tip.name.actioncasting_test-01,\공용액션캐스팅,테스트 01
tip.name.actioncasting_test-02,\공용액션캐스팅,테스트 02
tip.name.actioncasting_test-03,\공용액션캐스팅,테스트 03
tip.name.actioncasting_test-04,\공용액션캐스팅,테스트 04
tip.name.actioncasting_test-05,\공용액션캐스팅,테스트 05
tip.name.actioncasting_test-06,\공용액션캐스팅,테스트 06
tip.name.actioncasting_test-07,\공용액션캐스팅,테스트 07
tip.name.actioncasting_test-08,\공용액션캐스팅,테스트 08
tip.name.actioncasting_test-09,\공용액션캐스팅,테스트 09
tip.name.actioncasting_test-10,\공용액션캐스팅,테스트 10
tip.name.active_ability1,,어빌리티1
tip.name.active_ability2,\공통,어빌리티2
tip.name.active_ability3,\공통,어빌리티3
tip.name.blacksmith,\기능성 NPC 종류,<FONT COLOR='#CCFF00' SIZE='13'>[대장장이]</FONT>
tip.name.chat_add_tab,\채팅\탭메뉴,새 탭 추가
tip.name.chat_change_tabname,\채팅\탭메뉴,탭 이름 변경
tip.name.chat_delete_tab,\채팅\탭메뉴,탭 삭제
tip.name.chat_filter_system,\채팅\시스템메시지,시스템 메시지
tip.name.chat_filter_system_basic,\채팅\시스템메시지\일반,일반
tip.name.chat_filter_system_basic_alert,\채팅\시스템메시지\일반,경고
tip.name.chat_filter_system_basic_error,\채팅\시스템메시지\일반,오류
tip.name.chat_filter_system_basic_information,\채팅\시스템메시지\일반,안내
tip.name.chat_filter_system_char,\채팅\시스템메시지\캐릭터,캐릭터
tip.name.chat_filter_system_char_acting,\채팅\시스템메시지\캐릭터,수행정보
tip.name.chat_filter_system_char_dead,\채팅\시스템메시지\캐릭터,사망부활
