Zone_PrimaryKey,PrimaryKey,Deploy_Count
10214,11258,1
10214,120420,2
10214,120430,1
10214,11255,1
10214,120490,68
10214,11276,1
10214,11333,1
10214,120400,13
10214,120410,34
10214,11334,6
10214,11343,7
10217,120180,81
10217,120470,1
10217,120130,19
10216,120090,2
10216,120080,43
10211,120450,1
10211,120460,21
10211,11273,1
10211,120240,72
10211,120500,1
10211,11336,1
10211,120110,35
10211,120220,30
10211,11339,1
10211,11347,1
10211,11340,1
10211,11348,1
10211,11338,1
10211,11301,1
10211,11225,1
10211,11329,2
10211,11304,1
10211,122360,3
10211,122320,1
10211,11303,1
10211,11248,12
10211,122300,1
10211,11262,1
10211,122340,4
10211,11306,5
10211,120140,23
10211,122380,4
10211,120440,1
10211,120230,200
10211,120210,77
10211,120120,1
10211,120250,47
10211,11471,8
10211,120100,97
10211,122370,4
10211,11335,1
10211,120180,298
10211,11318,1
10211,11317,1
10211,11316,1
10211,11315,1
10211,11314,1
10211,11313,1
10211,11312,1
10211,11311,1
10211,11291,1
10211,122310,5
10211,122350,2
10211,122330,2
10211,11298,1
10211,11299,1
10211,11337,1
10211,120130,74
10211,11292,1
10211,11293,1
10211,120170,92
10211,11296,1
10211,11297,1
10211,11295,1
10213,11471,9
10213,11211,1
10213,120180,23
10213,120130,7
10212,11212,11
10212,11214,9
10212,120001,1
10212,120010,24
10212,122270,1
10212,11215,8
10212,11201,2
10212,11213,2
10212,11210,8
10212,11202,3
10212,11216,1
10212,11204,2
10212,11207,1
10212,120000,40
10212,11208,2
10212,11224,1
10212,11572,1
10212,11217,3
10691,102480,10
10691,900000,19
10691,120220,15
10893,180090,1
10893,180122,1
10893,180123,1
10893,180120,1
10893,180121,1
10893,180100,1
10892,180023,31
10892,180021,10
10892,180090,1
10892,180020,36
10892,180022,16
10892,180012,12
10892,180013,64
10892,180011,24
10892,180110,1
10892,180100,1
10892,180003,16
10892,180030,32
10892,180031,10
10892,180032,16
10892,180033,31
10892,180001,8
10892,180000,13
10892,180010,104
10892,180002,12
10891,180040,196
10891,180050,1
10891,180080,15
10891,180090,16
10891,180020,8
10891,180130,76
10891,180120,69
10891,180060,72
10891,180070,31
10891,10501,1
10891,180110,123
10891,180100,1
10891,180101,1
10891,180102,1
10891,180103,1
10891,180030,39
10891,10500,2
10891,180000,150
10891,180010,22
10813,180572,1
10813,180381,1
10813,12051,1
10813,12053,1
10813,12052,1
10813,12055,2
10813,12054,3
10813,12057,3
10813,12056,3
10813,12059,3
10813,12058,3
10813,12110,1
10813,12111,1
10813,12112,3
10813,12113,1
10813,12114,1
10813,12115,1
10813,180580,43
10813,180396,1
10813,180610,34
10813,12158,1
10813,12159,1
10813,180395,12
10813,12155,1
10813,180560,40
10813,180561,1
10813,180391,2
10813,180402,6
10813,12156,1
10813,12105,1
10813,12154,1
10813,12104,1
10813,12046,1
10813,180592,1
10813,180590,14
10813,12048,5
10813,12049,7
10813,180403,7
10813,12107,1
10813,12106,1
10813,180551,1
10813,180550,70
10813,12103,1
10813,12157,1
10813,180602,1
10813,180600,7
10813,180394,10
10813,12109,1
10813,12108,1
10813,12161,1
